,Title,Sub_Title,News_Link
0,'STAY STRONG',Footballer 'dies' after cardiac arrest in training before being revived,https://www.thesun.co.uk/sport/21376376/footballer-dies-cardiac-arrest-training-doctor/
1,GUIRE SALE,Maguire 'growing to accept' Man Utd exit as Champions League club plot move,https://www.thesun.co.uk/sport/21374750/man-utd-maguire-transfer-ten-hag/
2,ERLI RISER,Man City boost for Arsenal clash as Haaland trains after suffering injury scare,https://www.thesun.co.uk/sport/21376669/erling-haaland-man-city-fitness-boost-arsenal/
3,'TOO FUNNY',Fans joke Klopp has forgotten why he selected Liverpool pair against Everton,https://www.thesun.co.uk/sport/21375400/jurgen-klopp-liverpool-everton-henderson-fabinho-neville/
4,MAGIC NUMBER,Prem's new 'third man rule' has Neville baffled after Dias and Lemina bookings,https://www.thesun.co.uk/sport/21376185/premier-league-third-man-rule-neville-dias-lemina/
5,RICH PICKINGS,Richarlison on Real Madrid's shortlist as they prepare for huge summer spree,https://www.thesun.co.uk/sport/21376259/richarlison-real-madrid-transfer-tottenham/
6,'DON'T WANT TO HIDE',Euro 2020 football star comes out as gay in emotional video,https://www.thesun.co.uk/sport/21370327/euros-jakub-jankto-gay/
7,ROO RETURN,Rooney 'wants sensational return to English football as he eyes Southampton job',https://www.thesun.co.uk/sport/21369524/wayne-rooney-return-southampton-gerrard/
8,FOOTY PROBE,Former football wonderkid 'arrested on suspicion of assaulting ex-girlfriend',https://www.thesun.co.uk/sport/21372319/mohamed-ihattaren-arrested-assaulting-girlfriend-cops/
9,MESSI TO LEAVE?,Lionel Messi ‘leaning towards snubbing new PSG contract and QUITTING club’,https://www.thesun.co.uk/sport/21372298/lionel-messi-psg-transfer-exit-inter-miami/
10,READY FOR WAR,Neil Warnock OUT of retirement aged 74 for second stint at Huddersfield Town,https://www.thesun.co.uk/sport/21369723/neil-warnock-out-of-retirement-huddersfield-town/
11,GOLDEN BIDS,Beckham 'approached to be face of Man Utd takeover bids' and Fergie may be next,https://www.thesun.co.uk/sport/21375233/david-beckham-man-utd-takeover-bids-ferguson-qatar/
12,NEVER SAY NEV,Neville warned to 'tone it down' on TV after cracking Man City joke in studio,https://www.thesun.co.uk/sport/21375795/gary-neville-man-utd-city-joke-financial-charges/
13,QAT CHASE,Qataris WILL make first public bid for Man Utd with Glazers' deadline days away,https://www.thesun.co.uk/sport/21370750/first-bid-man-utd-qataris-offer-glazers/
14,GOES ELON WAY,How Man Utd could line up under Elon Musk with Twitter boss to spend millions,https://www.thesun.co.uk/sport/21371906/man-utd-line-up-elon-musk-kane-bellingham/
15,HAAL CHANGE,How Man City could line up WITHOUT Haaland vs Arsenal ahead of title clash,https://www.thesun.co.uk/sport/21369629/man-city-line-up-without-haaland-arsenal-title/
16,A ROO DAWN,How Southampton could line up under Rooney including familiar faces from Man Utd,https://www.thesun.co.uk/sport/21371919/southampton-line-up-wayne-rooney-man-utd/
17,SAINT OVER,Southampton hold positive talks with ex-Prem boss about replacing Nathan Jones,https://www.thesun.co.uk/sport/21374512/southampton-talks-premier-league-nathan-jones-next-manager/
18,'IT'S PAINFUL',Evra breaks silence after conviction for posting homophobic abuse online,https://www.thesun.co.uk/sport/21369264/man-utd-evra-breaks-silence-conviction-homophobic-abuse/
19,'CALL ME',Sam Allardyce opens door to shock Premier League return with relegation battlers,https://www.thesun.co.uk/sport/21363671/sam-allardyce-leeds-job-relegation-battle/
20,CARRY ON CARRA,Carragher trolls Pep & says Man City boss must have watched Sky Sports rant,https://www.thesun.co.uk/sport/21363156/man-city-erling-haaland-aston-villa-pep-guardiola-carragher/
21,STEVEN AT ODDS,Leeds target two ex-Tottenham bosses as Gerrard 'has reservations over job',https://www.thesun.co.uk/sport/21377061/leeds-steven-gerrard-mauricio-pochettino-nuno-espirito-santo/
22,KEEPER TRAGEDY,"Goalkeeper, 25, dies after collapsing on pitch moments after saving penalty",https://www.thesun.co.uk/sport/21369316/goalkeeper-dead-heart-attack-arne-espeel-winkel-sport/
23,MODEL PRO,Football legend looks unrecognisable as a fashion icon in the 90s,https://www.thesun.co.uk/sport/21369254/guardiola-modelling-manchester-city/
24,OH MANN,Inside huge rifts splitting Bayern apart including bitter Neuer row with Nagelsmann,https://www.thesun.co.uk/sport/21372672/inside-bayern-munich-rift-rows-dressing-room-inquest/
25,ZINE LIVES,Nasri reveals Zidane's dream job and why he will snub Prem after Man Utd links,https://www.thesun.co.uk/sport/21377165/man-utd-zinedine-zidane-dream-job-samir-nasri/
26,NEW BALL GAME,Fifa set to trial new offside rule with semi-automatic system ‘too accurate’,https://www.thesun.co.uk/sport/21365743/fifa-trial-new-offside-rule-semi-automatic-system/
27,BLUE PHEW,Chelsea will NOT sack Graham Potter and see boss as long-term project over years,https://www.thesun.co.uk/sport/21366106/chelsea-not-sack-graham-potter-struggles/
28,SNOW JOKE,Injured Pogba blasted by Juventus legend for ‘skiing while club have problems',https://www.thesun.co.uk/sport/21366984/paul-pogba-blasted-juventus-skiing-injury-marco-tardelli/
29,RODRI-BLOW,Tottenham dealt huge blow with Bentancur set to miss SIX MONTHS with ACL tear,https://www.thesun.co.uk/sport/21360129/tottenham-rodrigo-bentancur-acl-tear/
30,'DISGUSTED AND SADDENED',Brentford condemn racist abuse aimed at Toney after Arsenal goal,https://www.thesun.co.uk/sport/21359824/brentford-condemn-racist-abuse-aimed-toney-arsenal-goal/
31,STEP BROTHERS,Fans loving bizarre bromance between Man Utd legend Roy Keane & Will Ferrell,https://www.thesun.co.uk/sport/21360897/man-utd-roy-keane-will-ferrell-bromance/
32,MATCHES MADE IN HEAVEN,Fans all say same thing with dream fixtures on Valentine's Day week,https://www.thesun.co.uk/sport/21367356/fans-fixtures-champions-league-valentines-day/
33,FOOTBALL D-DAY,Neville says Prem will look 'incompetent’ if Man City cleared of FFP charges,https://www.thesun.co.uk/sport/21362081/neville-man-city-ffp-premier-league/
34,'HAS IT LANDED YET?',Mahrez brilliantly trolls HIMSELF after miss of the year contender,https://www.thesun.co.uk/sport/21363325/riyad-mahrez-man-city-miss/
35,STAT ATTACK,Supercomputer reveals Arsenal & City couldn’t be closer in epic Prem title race,https://www.thesun.co.uk/sport/21368473/supercomputer-arsenal-man-city-opta-predictions-title/
36,THE RIGHT TONE,Gary Neville likes Ivan Toney tweet slating disallowed goal vs Arsenal,https://www.thesun.co.uk/sport/21359681/man-utd-gary-neville-toney-tweet/
37,REUD AWAKENING,Sacked Ajax boss at Leeds vs Man Utd & is 'serious target' to replace Marsch,https://www.thesun.co.uk/sport/21360751/alfred-schreuder-leeds-man-utd-new-manager-ajax/
38,SCHREUD MOVE,Ten Hag's axed Ajax successor Schreuder OUT of Leeds running after Utd trip,https://www.thesun.co.uk/sport/21373460/leeds-alfred-schreuder-man-utd-erik-ten-hag/
39,JUR REAL DEAL,Real Madrid 'want Klopp as next boss' and hope Bellingham deal will seal move,https://www.thesun.co.uk/sport/21358797/real-madrid-liverpool-jurgen-klopp-carlo-ancelotti-bellingham-transfer/
40,MAN-OEUVRE,Why Arsenal face City at same time as Champions League despite rules banning it,https://www.thesun.co.uk/sport/21366072/arsenal-man-city-champions-premier-league-rules/
41,ON YOUR MARC,Sabitzer reveals transfer plans with star to decide between Man Utd and Bayern,https://www.thesun.co.uk/sport/21370992/sabitzer-transfer-man-utd-bayern-munich/
42,DEN-SATIONAL,Man Utd in Dumfries transfer boost as Inter Milan line up replacement,https://www.thesun.co.uk/sport/21358355/man-utd-denzel-dumfries-transfer-inter-milan/
43,TOP PICK,Dyche demands new Pickford deal as Everton look to stave off Man Utd interest,https://www.thesun.co.uk/sport/21355655/jordan-pickford-everton-contract-dyche-man-utd-transfer/
44,JO AWAY,Chelsea transfer blow as ‘Real Madrid keep tabs on Felix for summer transfer',https://www.thesun.co.uk/sport/21362843/chelsea-transfer-felix-real-madrid-tabs/
45,RED DEVILS LIVE,"Takeover deadline LATEST, Ruben Neves transfer BATTLE, Dumfries targeted",https://www.thesun.co.uk/sport/21284701/man-utd-news-live-ruben-neves-transfer-takeover-latest/
46,GUNNERS LIVE,"Vitor Roque TALKS, Man City build-up LATEST, Brentford fallout reaction",https://www.thesun.co.uk/sport/21158908/arsenal-transfer-news-live-vitor-roque-man-city-latest/
47,FAT CHANCE,Arsenal join transfer race for Fati with Man Utd 'informed' on Barcelona status,https://www.thesun.co.uk/sport/21339600/arsenal-fati-transfer-man-utd-liverpool/
48,FRANCIS AGONY,Ex-Arsenal star Coquelin carried off in tears after horror knee injury,https://www.thesun.co.uk/sport/21363768/francis-coquelin-villarreal-barcelona-injury-arsenal/
49,NEW DAWN,EFL set for streaming revolution with more games and end of Sky Sports monopoly,https://www.thesun.co.uk/sport/21356050/efl-streaming-viaplay-sky-sports-coverage/
50,AUSTIN POWERS,Austin leaves crowd in stitches with funny comeback after confronting fan,https://www.thesun.co.uk/sport/21361022/charlie-austin-funny-comeback-confront-fan/
51,COOK IT TOO FAR,Stevenage fan runs on pitch to confront Bradford's Cook as match is delayed,https://www.thesun.co.uk/sport/21354885/stevenage-fan-bradford-andy-cook-league-two/
